Loading inference model from files models/output_graph.pbLoaded inference model in 0.21s.# File (10_A_1.wav):
# - processed text: 'ofbuta san underlights'
# - processed in 2.437 seconds.
# - WER = 1.0
# File (2_B_1.wav):
# - 2.5541875 seconds long.
# - actual    text: 'mute unmute'
# - processed text: 'your and youd'
# - processed in 2.545 seconds.
# - WER = 1.5
# File (2_B_2.wav):
# - 1.6020625 seconds long.
# - actual    text: 'stop abort'
# - processed text: 'stop a board'
# - processed in 1.596 seconds.
# - WER = 1.0
# File (2_B_3.wav):
# - 2.472625 seconds long.
# - actual    text: 'pause resume'
# - processed text: 'as resum'
# - processed in 2.468 seconds.
# - WER = 1.0
# File (2_B_4.wav):
# - 2.335875 seconds long.
# - actual    text: 'next back'
# - processed text: 'next back'
# - processed in 2.343 seconds.
# - WER = 0.0
# File (2_B_5.wav):
# - 0.7496875 seconds long.
# - actual    text: 'louder'
# - processed text: 'louder'
# - processed in 0.755 seconds.
# - WER = 0.0
# File (2_B_6.wav):
# - 1.3539375 seconds long.
# - actual    text: 'turn the volume down'
# - processed text: 'ton t olamdon'
# - processed in 1.376 seconds.
# - WER = 1.0
# File (2_B_7.wav):
# - 1.467125 seconds long.
# - actual    text: 'set volume to six'
# - processed text: 'said molyun to six'
# - processed in 1.478 seconds.
# - WER = 0.5
# File (2_C_1.wav):
# - 1.976875 seconds long.
# - actual    text: 'play some music by bon jovi'
# - processed text: 'place om mosic by pon jogi'
# - processed in 2.012 seconds.
# - WER = 0.833
# File (2_C_2.wav):
# - 1.8695625 seconds long.
# - actual    text: 'play my eighties rock playlist now'
# - processed text: 'lay my ages rogh felith now'
# - processed in 1.863 seconds.
# - WER = 0.667
# File (2_C_3.wav):
# - 1.8646875 seconds long.
# - actual    text: 'what song is currently playing'
# - processed text: 'what sin as powented playin'
# - processed in 1.882 seconds.
# - WER = 0.8
# File (2_C_4.wav):
# - 2.527875 seconds long.
# - actual    text: 'please add this song to my favourites'
# - processed text: 'fleae at thi song to my favourits'
# - processed in 2.569 seconds.
# - WER = 0.571
# File (2_C_5.wav):
# - 2.2544375 seconds long.
# - actual    text: 'what can i do with a music skill'
# - processed text: 'what taad o was an music still'
# - processed in 2.304 seconds.
# - WER = 0.75
# File (2_D_1.wav):
# - 2.7641875 seconds long.
# - actual    text: 'set an alarm for five am please'
# - processed text: 'set an alarm for five a ang hes'
# - processed in 2.783 seconds.
# - WER = 0.429
# File (2_D_2.wav):
# - 2.5179375 seconds long.
# - actual    text: 'how much time is left on my pizza timer'
# - processed text: 'how much time tis lauft on my pit etima'
# - processed in 2.564 seconds.
# - WER = 0.444
# File (2_D_3.wav):
# - 2.8020625 seconds long.
# - actual    text: 'remind me of the tennis training tonight at five'
# - processed text: 'remind me of the tennist traene ing to night at five'
# - processed in 2.881 seconds.
# - WER = 0.556
# File (2_D_4.wav):
# - 1.507 seconds long.
# - actual    text: 'cancel all my timers'
# - processed text: 'cancel alma time uss'
# - processed in 1.506 seconds.
# - WER = 0.75
# File (2_D_5.wav):
# - 0.8685 seconds long.
# - actual    text: 'what's the date'
# - processed text: 'what's the date'
# - processed in 0.87 seconds.
# - WER = 0.0
# File (2_D_6.wav):
# - 1.83725 seconds long.
# - actual    text: 'when is easter sunday this year'
# - processed text: 'when this eastess and it is eure'
# - processed in 1.844 seconds.
# - WER = 1.0
# File (2_E_1.wav):
# - 2.270125 seconds long.
# - actual    text: 'add milk and cheese to my shopping list'
# - processed text: 'at mile and cheased to my soppinglest'
# - processed in 2.298 seconds.
# - WER = 0.625
# File (2_E_2.wav):
# - 1.674625 seconds long.
# - actual    text: 'create a new appointment'
# - processed text: 'rade an new upointment'
# - processed in 1.7 seconds.
# - WER = 0.75
# File (2_E_3.wav):
# - 4.7178125 seconds long.
# - actual    text: 'put doctor smith on my calendar for nineteenth of july at five pm'
# - processed text: 'but duck os mith on my callina for ninety of tuly at five pm'
# - processed in 4.855 seconds.
# - WER = 0.538
# File (2_E_4.wav):
# - 3.705875 seconds long.
# - actual    text: 'remind me to mow the lawn next saturday'
# - processed text: 'remind me to mol thelon lex hataday'
# - processed in 3.713 seconds.
# - WER = 0.625
# File (2_E_5.wav):
# - 2.5703125 seconds long.
# - actual    text: 'what reminders do i have for this weekend'
# - processed text: 'rot in mynd es to i have for this reten'
# - processed in 2.604 seconds.
# - WER = 0.75
# File (2_F_1.wav):
# - 2.1428125 seconds long.
# - actual    text: 'give me articles about politics'
# - processed text: 'if me outigl about allogits'
# - processed in 2.15 seconds.
# - WER = 0.6
# File (2_F_2.wav):
# - 1.068 seconds long.
# - actual    text: 'tell me the news'
# - processed text: 'tell me the newth'
# - processed in 1.082 seconds.
# - WER = 0.25
# File (2_F_3.wav):
# - 1.1939375 seconds long.
# - actual    text: 'what happened today'
# - processed text: 'whalt uppon today'
# - processed in 1.204 seconds.
# - WER = 0.667
# File (2_F_4.wav):
# - 2.150375 seconds long.
# - actual    text: 'which new topics are available'
# - processed text: 'rhich the atopics are of ailable'
# - processed in 2.162 seconds.
# - WER = 1.0
# File (2_F_5.wav):
# - 2.8114375 seconds long.
# - actual    text: 'set business as preferred news category'
# - processed text: 'said a business of prefert use cantegory'
# - processed in 2.843 seconds.
# - WER = 1.0
# File (2_F_6.wav):
# - 1.5569375 seconds long.
# - actual    text: 'how does the news skill work'
# - processed text: 'ow does of mus skilror'
# - processed in 1.566 seconds.
# - WER = 0.833
# File (2_F_7.wav):
# - 1.8335 seconds long.
# - actual    text: 'will it rain today in manchester'
# - processed text: 'billad rainge they in mencester'
# - processed in 1.866 seconds.
# - WER = 0.833
# File (2_F_8.wav):
# - 2.5303125 seconds long.
# - actual    text: 'what's the weather going to be like on sunday'
# - processed text: 'what's the rether going to be like on fundyy'
# - processed in 2.568 seconds.
# - WER = 0.2
# File (2_F_9.wav):
# - 1.707875 seconds long.
# - actual    text: 'do i need an umbrella tomorrow'
# - processed text: 'when it annumbrallat's mor'
# - processed in 1.725 seconds.
# - WER = 1.0
# File (2_G_1.wav):
# - 3.267625 seconds long.
# - actual    text: 'how long does it take from london to liverpool by car'
# - processed text: 'how long does 't take for runn to live a boe by cal'
# - processed in 3.311 seconds.
# - WER = 0.636
# File (2_G_2.wav):
# - 3.1875 seconds long.
# - actual    text: 'set my location to kennington road four in london'
# - processed text: 'sad my location to kennicon roade for it lumpon'
# - processed in 3.214 seconds.
# - WER = 0.667
# File (2_G_3.wav):
# - 1.7018125 seconds long.
# - actual    text: 'i need help with navigation'
# - processed text: 'i need to with neve gaged'
# - processed in 1.725 seconds.
# - WER = 0.6
# File (2_G_4.wav):
# - 2.644875 seconds long.
# - actual    text: 'what restaurants are within five kilometres'
# - processed text: 'whate restaurants are within the five comometals'
# - processed in 2.755 seconds.
# - WER = 0.5
# File (2_G_5.wav):
# - 3.22225 seconds long.
# - actual    text: 'how far is it to the university of oxford'
# - processed text: 'all far is its to the university of oxpor'
# - processed in 3.301 seconds.
# - WER = 0.333
# File (2_G_6.wav):
# - 4.1160625 seconds long.
# - actual    text: 'how long does it take from buckingham palace to tower of london on foot'
# - processed text: 'how long does 't take for packin and palace in tower of lamdon on hoos'
# - processed in 4.213 seconds.
# - WER = 0.5
# File (2_G_7.wav):
# - 2.02825 seconds long.
# - actual    text: 'find me a burger restaurant nearby'
# - processed text: 'find nep buggares on the ivir'
# - processed in 2.058 seconds.
# - WER = 0.833
# File (2_G_8.wav):
# - 2.4333125 seconds long.
# - actual    text: 'what's the address of the nearest tesco store'
# - processed text: 'what's the atress of the nearest tesces tore'
# - processed in 2.502 seconds.
# - WER = 0.333
# File (2_H_1.wav):
# - 1.877125 seconds long.
# - actual    text: 'how many feet are in a mile'
# - processed text: 'how many feet out in a mile'
# - processed in 1.898 seconds.
# - WER = 0.143
# File (2_H_2.wav):
# - 1.9360625 seconds long.
# - actual    text: 'what's seven times forty four'
# - processed text: 'what's seven times or i for'
# - processed in 1.976 seconds.
# - WER = 0.5
# File (2_H_3.wav):
# - 2.98 seconds long.
# - actual    text: 'what's two hundred twenty five divided by five'
# - processed text: 'rocks to hundred twenty five tvited y five'
# - processed in 3.084 seconds.
# - WER = 0.556
# File (2_H_4.wav):
# - 3.240375 seconds long.
# - actual    text: 'what's fifteen percent of one hundred twenty eight'
# - processed text: 'what's fifteen per cents of one hundred fon thy eight'
# - processed in 3.338 seconds.
# - WER = 0.444
# File (2_H_5.wav):
# - 2.9066875 seconds long.
# - actual    text: 'is three hundred thirty seven a prime number'
# - processed text: 'is three hundred thirty seven a prime member'
# - processed in 3.006 seconds.
# - WER = 0.125
# File (2_I_1.wav):
# - 1.69875 seconds long.
# - actual    text: 'what's the definition of cat'
# - processed text: 'what's the deffinition of cat'
# - processed in 1.754 seconds.
# - WER = 0.167
# File (2_I_2.wav):
# - 1.9859375 seconds long.
# - actual    text: 'what does to share mean'
# - processed text: 'what does to share me'
# - processed in 2.013 seconds.
# - WER = 0.2
# File (2_I_3.wav):
# - 1.5295 seconds long.
# - actual    text: 'how do you spell date'
# - processed text: 'hol the s poued dates'
# - processed in 1.524 seconds.
# - WER = 1.0
# File (2_I_4.wav):
# - 2.35775 seconds long.
# - actual    text: 'tell me words that start with an a'
# - processed text: 'tanl me rouds that's ti with an ad'
# - processed in 2.406 seconds.
# - WER = 0.625
# File (2_I_5.wav):
# - 2.771875 seconds long.
# - actual    text: 'which words contain c o n'
# - processed text: 'which words contain a sea oh am'
# - processed in 2.789 seconds.
# - WER = 0.667
# File (2_I_6.wav):
# - 1.56575 seconds long.
# - actual    text: 'can you translate cat'
# - processed text: 'can you trasslet hat'
# - processed in 1.571 seconds.
# - WER = 0.5
# File (2_I_7.wav):
# - 1.9829375 seconds long.
# - actual    text: 'what is dog in german'
# - processed text: 'what is thog isxamon'
# - processed in 2.007 seconds.
# - WER = 0.6
# File (2_I_8.wav):
# - 3.0898125 seconds long.
# - actual    text: 'set the number of words for translations to three'
# - processed text: 'seid the number of wordhs or translations to three'
# - processed in 3.231 seconds.
# - WER = 0.333
# File (2_I_9.wav):
# - 2.0724375 seconds long.
# - actual    text: 'what is another word for dashboard'
# - processed text: 'what is another road for des ports'
# - processed in 2.119 seconds.
# - WER = 0.5
# File (2_J_1.wav):
# - 1.9043125 seconds long.
# - actual    text: 'turn on the living room lights please'
# - processed text: 'so non the living roon iht place'
# - processed in 1.924 seconds.
# - WER = 0.714
# File (2_J_2.wav):
# - 2.95925 seconds long.
# - actual    text: 'set the temperature in the kitchen to twenty two degrees'
# - processed text: 'such as hampert or in the kitchens to twenty two dedrees'
# - processed in 3.053 seconds.
# - WER = 0.6
# File (2_J_3.wav):
# - 2.0604375 seconds long.
# - actual    text: 'set the shutters to fifty percent'
# - processed text: 'set masallas to fifty percents'
# - processed in 2.086 seconds.
# - WER = 0.5
# File (2_J_4.wav):
# - 1.9349375 seconds long.
# - actual    text: 'please lower the blinds by half'
# - processed text: 'lias lowof the blind by half'
# - processed in 1.978 seconds.
# - WER = 0.5
# File (2_K_1.wav):
# - 1.8179375 seconds long.
# - actual    text: 'how old is queen elizabeth'
# - processed text: 'how oes is wreenalizable'
# - processed in 1.823 seconds.
# - WER = 0.6
# File (2_K_10.wav):
# - 1.215125 seconds long.
# - actual    text: 'do you like to travel'
# - processed text: 'doyu like to travel'
# - processed in 1.24 seconds.
# - WER = 0.4
# File (2_K_11.wav):
# - 1.647375 seconds long.
# - actual    text: 'what kind of music do you like'
# - processed text: 'what kind of music yo you like'
# - processed in 1.69 seconds.
# - WER = 0.143
# File (2_K_2.wav):
# - 2.0506875 seconds long.
# - actual    text: 'how many people live in australia'
# - processed text: 'ham many people the enostralia'
# - processed in 2.072 seconds.
# - WER = 0.667
# File (2_K_3.wav):
# - 2.0251875 seconds long.
# - actual    text: 'what's the height of the eiffel tower'
# - processed text: 'what's e higred of the iffo ower'
# - processed in 2.06 seconds.
# - WER = 0.5
# File (2_K_4.wav):
# - 1.9799375 seconds long.
# - actual    text: 'how long is the river danube'
# - processed text: 'wehow long as the river the newber'
# - processed in 2.053 seconds.
# - WER = 0.667
# File (2_K_5.wav):
# - 2.6539375 seconds long.
# - actual    text: 'how tall is the tallest mountain in the alps'
# - processed text: 'hotar is a tallast mountain in the arts'
# - processed in 2.729 seconds.
# - WER = 0.556
# File (2_K_6.wav):
# - 2.5310625 seconds long.
# - actual    text: 'which movies did tom cruise play in'
# - processed text: 'which movestets tonu thrus flay and'
# - processed in 2.549 seconds.
# - WER = 0.857
# File (2_K_7.wav):
# - 1.3965 seconds long.
# - actual    text: 'what do you dream about'
# - processed text: 'what de your dream about'
# - processed in 1.439 seconds.
# - WER = 0.4
# File (2_K_8.wav):
# - 1.2876875 seconds long.
# - actual    text: 'what's your favourite colour'
# - processed text: 'what's your favorite color'
# - processed in 1.293 seconds.
# - WER = 0.4
# File (2_K_9.wav):
# - 1.907375 seconds long.
# - actual    text: 'what do you do when i'm not at home'
# - processed text: 'what do you do a when i'm not at home'
# - processed in 1.919 seconds.
# - WER = 0.1
# File (3_A_1.wav):
# - 1.671875 seconds long.
# - actual    text: 'athena turn on the lights'
# - processed text: 'as the naturn on the lights'
# - processed in 1.704 seconds.
# - WER = 0.6
# File (3_A_2.wav):
# - 1.729875 seconds long.
# - actual    text: 'minerva turn on the lights'
# - processed text: 'e never turn on de lights'
# - processed in 1.755 seconds.
# - WER = 0.6
# File (3_A_3.wav):
# - 2.004125 seconds long.
# - actual    text: 'artemis turn on the lights'
# - processed text: 'atthe miss turn on delights'
# - processed in 2.018 seconds.
# - WER = 0.8
# File (3_A_4.wav):
# - 1.793125 seconds long.
# - actual    text: 'freya turn on the lights'
# - processed text: 'tria tonondedit'
# - processed in 1.807 seconds.
# - WER = 1.0
# File (3_A_5.wav):
# - 1.70875 seconds long.
# - actual    text: 'james turn on the lights'
# - processed text: 'traims tun on elights'
# - processed in 1.72 seconds.
# - WER = 0.8
# File (3_A_6.wav):
# - 1.9725 seconds long.
# - actual    text: 'computer turn on the lights'
# - processed text: 'computer tonunderlights'
# - processed in 1.994 seconds.
# - WER = 0.8
# File (3_B_1.wav):
# - 2.4033125 seconds long.
# - actual    text: 'mute unmute'
# - processed text: 'mute anmute'
# - processed in 2.394 seconds.
# - WER = 0.5
# File (3_B_2.wav):
# - 2.0251875 seconds long.
# - actual    text: 'stop abort'
# - processed text: 'stope upod'
# - processed in 2.023 seconds.
# - WER = 1.0
# File (3_B_3.wav):
# - 1.7931875 seconds long.
# - actual    text: 'pause resume'
# - processed text: 'pause resumed'
# - processed in 1.805 seconds.
# - WER = 0.5
# File (3_B_4.wav):
# - 1.70875 seconds long.
# - actual    text: 'next back'
# - processed text: 'next beck'
# - processed in 1.708 seconds.
# - WER = 0.5
# File (3_B_5.wav):
# - 1.075875 seconds long.
# - actual    text: 'louder'
# - processed text: 'louder'
# - processed in 1.091 seconds.
# - WER = 0.0
# File (3_B_6.wav):
# - 1.4455625 seconds long.
# - actual    text: 'turn the volume down'
# - processed text: 'turned a vodan down'
# - processed in 1.444 seconds.
# - WER = 0.75
# File (3_B_7.wav):
# - 1.48725 seconds long.
# - actual    text: 'set volume to six'
# - processed text: 'said villiame to six'
# - processed in 1.493 seconds.
# - WER = 0.5
# File (3_C_1.wav):
# - 2.004125 seconds long.
# - actual    text: 'play some music by bon jovi'
# - processed text: 'place om music bypontrol wy'
# - processed in 2.014 seconds.
# - WER = 0.833
# File (3_C_2.wav):
# - 1.82 seconds long.
# - actual    text: 'play my eighties rock playlist now'
# - processed text: 'glam i age is roclaylest now'
# - processed in 1.833 seconds.
# - WER = 0.833
# File (3_C_3.wav):
# - 1.66925 seconds long.
# - actual    text: 'what song is currently playing'
# - processed text: 'what son his current deplaying'
# - processed in 1.702 seconds.
# - WER = 0.8
# File (3_C_4.wav):
# - 1.9830625 seconds long.
# - actual    text: 'please add this song to my favourites'
# - processed text: 'please atthe som to my favorites'
# - processed in 2.016 seconds.
# - WER = 0.571
# File (3_C_5.wav):
# - 2.1306875 seconds long.
# - actual    text: 'what can i do with the music skill'
# - processed text: 'but can i do wistomusic sco'
# - processed in 2.132 seconds.
# - WER = 0.625
# File (3_D_1.wav):
# - 2.1623125 seconds long.
# - actual    text: 'set an alarm for five am please'
# - processed text: 'said anothern for five a ampece'
# - processed in 2.172 seconds.
# - WER = 0.714
# File (3_D_2.wav):
# - 2.4155 seconds long.
# - actual    text: 'how much time is left on my pizza timer'
# - processed text: 'how much time is lift on myh tisto a timeer'
# - processed in 2.461 seconds.
# - WER = 0.556
# File (3_D_3.wav):
# - 2.8585 seconds long.
# - actual    text: 'remind me of the tennis training tonight at five'
# - processed text: 'remind meff to tennis draning to night at five'
# - processed in 2.937 seconds.
# - WER = 0.667
# File (3_D_4.wav):
# - 1.613875 seconds long.
# - actual    text: 'cancel all my timers'
# - processed text: 'cancer o my time s'
# - processed in 1.656 seconds.
# - WER = 1.0
# File (3_D_5.wav):
# - 0.9493125 seconds long.
# - actual    text: 'what's the date'
# - processed text: 'what's the date'
# - processed in 0.95 seconds.
# - WER = 0.0
# File (3_D_6.wav):
# - 2.056875 seconds long.
# - actual    text: 'when is easter sunday this year'
# - processed text: 'wenic is tos undey iou'
# - processed in 2.072 seconds.
# - WER = 0.833
# File (3_E_1.wav):
# - 2.3521875 seconds long.
# - actual    text: 'add milk and cheese to my shopping list'
# - processed text: 'it milk an chese to meshaldingest'
# - processed in 2.388 seconds.
# - WER = 0.75
# File (3_E_2.wav):
# - 1.508375 seconds long.
# - actual    text: 'create a new appointment'
# - processed text: 'gread a new apointment'
# - processed in 1.519 seconds.
# - WER = 0.5
# File (3_E_3.wav):
# - 4.4406875 seconds long.
# - actual    text: 'put doctor smith on my calendar for nineteenth of july at five pm'
# - processed text: 'put tec tos mith on my cadender for nineteenh of tru liat five pan'
# - processed in 4.655 seconds.
# - WER = 0.615
# File (3_E_4.wav):
# - 2.8479375 seconds long.
# - actual    text: 'remind me to mow the lawn next saturday'
# - processed text: 'remindme to mord elang next othe day'
# - processed in 2.873 seconds.
# - WER = 0.875
# File (3_E_5.wav):
# - 2.2880625 seconds long.
# - actual    text: 'what reminders do i have for this weekend'
# - processed text: 'what remind us doi hale for thi peekon'
# - processed in 2.321 seconds.
# - WER = 0.75
# File (3_F_1.wav):
# - 2.002875 seconds long.
# - actual    text: 'give me articles about politics'
# - processed text: 'give me autegats upout politics'
# - processed in 2.033 seconds.
# - WER = 0.4
# File (3_F_2.wav):
# - 1.2025 seconds long.
# - actual    text: 'tell me the news'
# - processed text: 'tune me to nuwse'
# - processed in 1.207 seconds.
# - WER = 0.75
# File (3_F_3.wav):
# - 1.26575 seconds long.
# - actual    text: 'what happened today'
# - processed text: 'what haven to day'
# - processed in 1.266 seconds.
# - WER = 1.0
# File (3_F_4.wav):
# - 2.0990625 seconds long.
# - actual    text: 'which news topics are available'
# - processed text: 'bich news topics arera'
# - processed in 2.106 seconds.
# - WER = 0.6
# File (3_F_5.wav):
# - 2.70025 seconds long.
# - actual    text: 'set business as preferred news category'
# - processed text: 'seit businessas prefer at news chetagoy'
# - processed in 2.726 seconds.
# - WER = 0.833
# File (3_F_6.wav):
# - 1.782625 seconds long.
# - actual    text: 'how does the news skill work'
# - processed text: 'how doste news giork'
# - processed in 1.788 seconds.
# - WER = 0.667
# File (3_F_7.wav):
# - 1.867 seconds long.
# - actual    text: 'will it rain today in manchester'
# - processed text: 'rilla rain todayinmentiuster'
# - processed in 1.856 seconds.
# - WER = 0.833
# File (3_F_8.wav):
# - 2.521 seconds long.
# - actual    text: 'what's the weather going to be like on sunday'
# - processed text: 'woatd te wetercoing to be like on sunday'
# - processed in 2.569 seconds.
# - WER = 0.5
# File (3_F_9.wav):
# - 1.782625 seconds long.
# - actual    text: 'do i need an umbrella tomorrow'
# - processed text: 'to ingid an umpratittle morow'
# - processed in 1.801 seconds.
# - WER = 0.833
# File (3_G_1.wav):
# - 3.12825 seconds long.
# - actual    text: 'how long does it take from london to liverpool by car'
# - processed text: 'on long does it take from dondon to live a puol by car'
# - processed in 3.253 seconds.
# - WER = 0.455
# File (3_G_2.wav):
# - 3.8921875 seconds long.
# - actual    text: 'set my location to kennington road four in london'
# - processed text: 'said malecation to o cannig road for inlandon'
# - processed in 4.037 seconds.
# - WER = 0.889
# File (3_G_3.wav):
# - 1.6560625 seconds long.
# - actual    text: 'i need help with navigation'
# - processed text: 'i ne to er han the bigation'
# - processed in 1.696 seconds.
# - WER = 1.2
# File (3_G_4.wav):
# - 2.6070625 seconds long.
# - actual    text: 'what restaurants are within five kilometres'
# - processed text: 'but restarals are t in five kildemiges'
# - processed in 2.648 seconds.
# - WER = 0.833
# File (3_G_5.wav):
# - 3.135375 seconds long.
# - actual    text: 'how far is it to the university of oxford'
# - processed text: 'hoe far s ir to do you need was it hy of oxpon'
# - processed in 3.187 seconds.
# - WER = 1.111
# File (3_G_6.wav):
# - 3.57575 seconds long.
# - actual    text: 'how long does it take from buckingham palace to tower of london on foot'
# - processed text: 'orlunders ab take from agingan peles to toweflononon food'
# - processed in 3.664 seconds.
# - WER = 0.786
# File (3_G_7.wav):
# - 2.120125 seconds long.
# - actual    text: 'find me a burger restaurant nearby'
# - processed text: 'find me a burger aster on yeu by'
# - processed in 2.133 seconds.
# - WER = 0.667
# File (3_G_8.wav):
# - 3.0589375 seconds long.
# - actual    text: 'what's the address of the nearest tesco store'
# - processed text: 'what detress ofter nerst tescostor'
# - processed in 3.086 seconds.
# - WER = 0.889
# File (3_H_1.wav):
# - 2.2995 seconds long.
# - actual    text: 'how many feet are in a mile'
# - processed text: 'how many fet are in a mile'
# - processed in 2.335 seconds.
# - WER = 0.143
# File (3_H_2.wav):
# - 2.734625 seconds long.
# - actual    text: 'what's seven times forty four'
# - processed text: 'what seven times for a pefor'
# - processed in 2.773 seconds.
# - WER = 0.667
# File (3_H_3.wav):
# - 2.708875 seconds long.
# - actual    text: 'what's two hundred twenty five divided by five'
# - processed text: 'wot zou hundred twenty five tovile by five'
# - processed in 2.778 seconds.
# - WER = 0.444
# File (3_H_4.wav):
# - 3.2065625 seconds long.
# - actual    text: 'what's fifteen percent of one hundred twenty eight'
# - processed text: 'what's fifteen persont of one undred wen ti agte'
# - processed in 3.25 seconds.
# - WER = 0.556
# File (3_H_5.wav):
# - 2.91125 seconds long.
# - actual    text: 'is three hundred thirty seven a prime number'
# - processed text: 'his rened at that he sed in no primenumber'
# - processed in 2.954 seconds.
# - WER = 1.125
# File (3_I_1.wav):
# - 1.782625 seconds long.
# - actual    text: 'what's the definition of cat'
# - processed text: 'what's the detifinish n of kit'
# - processed in 1.809 seconds.
# - WER = 0.5
# File (3_I_2.wav):
# - 2.124 seconds long.
# - actual    text: 'what does to share mean'
# - processed text: 'what dous to she am mean'
# - processed in 2.138 seconds.
# - WER = 0.6
# File (3_I_3.wav):
# - 1.6033125 seconds long.
# - actual    text: 'how do you spell date'
# - processed text: 'how to ou spelli date'
# - processed in 1.593 seconds.
# - WER = 0.6
# File (3_I_4.wav):
# - 1.9619375 seconds long.
# - actual    text: 'tell me words that start with an a'
# - processed text: 'om you wors that star with a nay'
# - processed in 1.999 seconds.
# - WER = 0.75
# File (3_I_5.wav):
# - 2.7635625 seconds long.
# - actual    text: 'which words contain c o n'
# - processed text: 'whichrurds containe sea oh in'
# - processed in 2.791 seconds.
# - WER = 1.0
# File (3_I_6.wav):
# - 1.4109375 seconds long.
# - actual    text: 'can you translate cat'
# - processed text: 'can you cronslate kat'
# - processed in 1.421 seconds.
# - WER = 0.5
# File (3_I_7.wav):
# - 1.5610625 seconds long.
# - actual    text: 'what is dog in german'
# - processed text: 'what is tolk in terman'
# - processed in 1.562 seconds.
# - WER = 0.4
# File (3_I_8.wav):
# - 3.3964375 seconds long.
# - actual    text: 'set the number of words for translation to three'
# - processed text: 'sidanumber of wirt for crinslation to tree'
# - processed in 3.489 seconds.
# - WER = 0.667
# File (3_I_9.wav):
# - 1.9900625 seconds long.
# - actual    text: 'what is another word for dashboard'
# - processed text: 'wat is another vork for tech bod'
# - processed in 2.025 seconds.
# - WER = 0.667
# File (3_J_1.wav):
# - 2.1306875 seconds long.
# - actual    text: 'turn on the living room lights please'
# - processed text: 'turn on de living room lights please'
# - processed in 2.177 seconds.
# - WER = 0.143
# File (3_J_2.wav):
# - 3.375375 seconds long.
# - actual    text: 'set the temperature in the kitchen to twenty two degrees'
# - processed text: 'said atembertoned te kitchen to tonty two degrees'
# - processed in 3.444 seconds.
# - WER = 0.6
# File (3_J_3.wav):
# - 1.951375 seconds long.
# - actual    text: 'set the shutters to fifty percent'
# - processed text: 'said di shutdus to fifty perent'
# - processed in 1.991 seconds.
# - WER = 0.667
# File (3_J_4.wav):
# - 1.91975 seconds long.
# - actual    text: 'please lower the blinds by half'
# - processed text: 'plese lowerd e blind sbyy half'
# - processed in 1.945 seconds.
# - WER = 0.833
# File (3_K_1.wav):
# - 1.7404375 seconds long.
# - actual    text: 'how old is queen elizabeth'
# - processed text: 'ho all is comunow is af both'
# - processed in 1.768 seconds.
# - WER = 1.2
# File (3_K_10.wav):
# - 1.3501875 seconds long.
# - actual    text: 'do you like to travel'
# - processed text: 'tho relect o travel'
# - processed in 1.371 seconds.
# - WER = 0.8
# File (3_K_11.wav):
# - 1.8564375 seconds long.
# - actual    text: 'what kind of music do you like'
# - processed text: 'what kind of music to you like'
# - processed in 1.906 seconds.
# - WER = 0.143
# File (3_K_2.wav):
# - 2.331125 seconds long.
# - actual    text: 'how many people live in australia'
# - processed text: 'home many people lived in australia'
# - processed in 2.357 seconds.
# - WER = 0.333
# File (3_K_3.wav):
# - 1.8036875 seconds long.
# - actual    text: 'what's the height of the eiffel tower'
# - processed text: 'what's the iht of the arifhator'
# - processed in 1.818 seconds.
# - WER = 0.375
# File (3_K_4.wav):
# - 1.5610625 seconds long.
# - actual    text: 'how long is the river danube'
# - processed text: 'olong este river tinew'
# - processed in 1.578 seconds.
# - WER = 0.833
# File (3_K_5.wav):
# - 2.2425625 seconds long.
# - actual    text: 'how tall is the tallest mountain in the alps'
# - processed text: 'hol tollis a tolles mountin and ye oeps'
# - processed in 2.245 seconds.
# - WER = 1.0
# File (3_K_6.wav):
# - 2.066125 seconds long.
# - actual    text: 'which movies did tom cruise play in'
# - processed text: 'which movies the tromp truse plain'
# - processed in 2.094 seconds.
# - WER = 0.714
# File (3_K_7.wav):
# - 1.6349375 seconds long.
# - actual    text: 'what do you dream about'
# - processed text: 'what do you dream about'
# - processed in 1.67 seconds.
# - WER = 0.0
# File (3_K_8.wav):
# - 1.3696875 seconds long.
# - actual    text: 'what's your favourite colour'
# - processed text: 'what's your favorite kannor'
# - processed in 1.395 seconds.
# - WER = 0.4
# File (3_K_9.wav):
# - 1.9935625 seconds long.
# - actual    text: 'what do you do when i'm not at home'
# - processed text: 'what do you do when i'm not at home'
# - processed in 2.045 seconds.
# - WER = 0.0
# File (4_A_1.wav):
# - 1.8548125 seconds long.
# - actual    text: 'athena turn on the lights'
# - processed text: 'a fena turn on the lights'
# - processed in 1.89 seconds.
# - WER = 0.4
# File (4_A_2.wav):
# - 2.1904375 seconds long.
# - actual    text: 'minerva turn on the lights'
# - processed text: 'min nerve turn on the lights'
# - processed in 2.195 seconds.
# - WER = 0.4
# File (4_A_3.wav):
# - 2.261125 seconds long.
# - actual    text: 'artemis turn on the lights'
# - processed text: 'a te miss ternon the lights'
# - processed in 2.304 seconds.
# - WER = 0.8
# File (4_A_4.wav):
# - 2.1595625 seconds long.
# - actual    text: 'freya turn on the lights'
# - processed text: 'frayau turn on the lights'
# - processed in 2.176 seconds.
# - WER = 0.2
# File (4_A_5.wav):
# - 2.2169375 seconds long.
# - actual    text: 'james turn on the lights'
# - processed text: 'chames turn on the lights'
# - processed in 2.257 seconds.
# - WER = 0.2
