Loading inference model from files models/output_graph.pbLoaded inference model in 0.259s.Loading language model from files models/alphabet.txt models/trieLoaded language model in 22.4s.# File (1089-134686-0000.flac):
# - processed in 83.556 seconds.
# - WER = 0.0
# File (8230-279154-0042.flac):
# - 18.76 seconds long.
# - actual    text: 'thus if i recognize a thing the occasion of its previous existence in virtue of which i recognize it forms part of my experience by definition recognition will be one of the marks by which my experience is singled out from the rest of the world'
# - processed text: 'thus if i recognize the thing the occasion of its previous existence in virtue of which i recognize it forms part of my experience by definition the recognition will be one of the marks by which my experience is single doubt from the rest of the world'
# - processed in 105.027 seconds.
# - WER = 0.087
# File (8230-279154-0043.flac):
# - 24.485 seconds long.
# - actual    text: 'of course the words this has existed before are a very inadequate translation of what actually happens when we form a judgment of recognition but that is unavoidable words are framed to express a level of thought which is by no means primitive and are quite incapable of expressing such an elementary occurrence as recognition'
# - processed text: 'of course the words this has existed before or a very inadequate translation of what actually happens when we form a judgment of recognition but that is unavoidable words are framed to express a level of thought which is by no means permeative and are quite incapable of expressing such an elementary occurrence as it recognition'
# - processed in 137.912 seconds.
# - WER = 0.055
# File (8455-210777-0000.flac):
# - 8.745 seconds long.
# - actual    text: 'i remained there alone for many hours but i must acknowledge that before i left the chambers i had gradually brought myself to look at the matter in another light'
# - processed text: 'i remained there alone for many hours but i must acknowledge that before i left the chambers i had gradually brought myself to look at the matter in another light'
# - processed in 49.242 seconds.
# - WER = 0.0
# File (8455-210777-0001.flac):
# - 18.125 seconds long.
# - actual    text: 'had eva crasweller not been good looking had jack been still at college had sir kennington oval remained in england had mister bunnit and the bar keeper not succeeded in stopping my carriage on the hill should i have succeeded in arranging for the final departure of my old friend'
# - processed text: 'had he ever cross well er not been good looking i jackmani a college had sir caneton oval remained in england had mister bonnet and the bar keeper not succeeded in stopping my carriage on the hill should i have succeeded in a rage for the final departure of my old friend'
# - processed in 102.13 seconds.
# - WER = 0.28
# File (8455-210777-0002.flac):
# - 6.24 seconds long.
# - actual    text: 'on arriving at home at my own residence i found that our salon was filled with a brilliant company'
# - processed text: 'on arriving at home and my own residence i found that our salon was filled with a brilliant company'
# - processed in 35.493 seconds.
# - WER = 0.053
# File (8455-210777-0003.flac):
# - 10.72 seconds long.
# - actual    text: 'as i spoke i made him a gracious bow and i think i showed him by my mode of address that i did not bear any grudge as to my individual self'
# - processed text: 'as i spoke i made him a gracious bow and i think i showed him by my mode of address that i did not bear any grudge as to my individual self'
# - processed in 60.783 seconds.
# - WER = 0.0
# File (8455-210777-0004.flac):
# - 7.84 seconds long.
# - actual    text: 'i have come to your shores mister president with the purpose of seeing how things are progressing in this distant quarter of the world'
# - processed text: 'i have come to your shores mister president with the purpose of seeing how things are progressing in this discarder of the world'
# - processed in 44.144 seconds.
# - WER = 0.083
# File (8455-210777-0005.flac):
# - 5.685 seconds long.
# - actual    text: 'we have our little struggles here as elsewhere and all things cannot be done by rose water'
# - processed text: 'we have our little struggles here as elsewhere and all things cannot be done by rose water'
# - processed in 31.553 seconds.
# - WER = 0.0
# File (8455-210777-0006.flac):
# - 4.52 seconds long.
# - actual    text: 'we are quite satisfied now captain battleax said my wife'
# - processed text: 'we are quite satisfied now captain battle ax said my wife'
# - processed in 25.407 seconds.
# - WER = 0.2
# File (8455-210777-0007.flac):
# - 2.67 seconds long.
# - actual    text: 'quite satisfied said eva'
# - processed text: 'quite satisfied said eva'
# - processed in 14.817 seconds.
# - WER = 0.0
# File (8455-210777-0008.flac):
# - 11.835 seconds long.
# - actual    text: 'the ladies in compliance with that softness of heart which is their characteristic are on one side and the men by whom the world has to be managed are on the other'
# - processed text: 'the ladies and compliance with that softness of heart which is their characteristic are on one side and the men by whom the world has to be managed or on the other'
# - processed in 65.706 seconds.
# - WER = 0.062
# File (8455-210777-0009.flac):
# - 4.58 seconds long.
# - actual    text: 'no doubt in process of time the ladies will follow'
# - processed text: 'no doubt in process of time the ladies will follow'
# - processed in 25.694 seconds.
# - WER = 0.0
# File (8455-210777-0010.flac):
# - 3.1 seconds long.
# - actual    text: 'their masters said missus neverbend'
# - processed text: 'there master said missus never bent'
# - processed in 17.435 seconds.
# - WER = 0.8
# File (8455-210777-0011.flac):
# - 6.63 seconds long.
# - actual    text: 'i did not mean said captain battleax to touch upon public subjects at such a moment as this'
# - processed text: 'i did not mean said captain battleax the touch upon public subjects at such a moment as this'
# - processed in 36.849 seconds.
# - WER = 0.056
# File (8455-210777-0012.flac):
# - 3.525 seconds long.
# - actual    text: 'missus neverbend you must indeed be proud of your son'
# - processed text: 'missus never been you mustn't be proud of your son'
# - processed in 19.646 seconds.
# - WER = 0.3
# File (8455-210777-0013.flac):
# - 7.41 seconds long.
# - actual    text: 'jack had been standing in the far corner of the room talking to eva and was now reduced to silence by his praises'
# - processed text: 'jack heaven standing in the far corner of the room talking to eva and was now reduced to silence by his praises'
# - processed in 41.214 seconds.
# - WER = 0.087
# File (8455-210777-0014.flac):
# - 4.12 seconds long.
# - actual    text: 'sir kennington oval is a very fine player said my wife'
# - processed text: 'sir kennington oval is a very fine player said my wife'
# - processed in 22.977 seconds.
# - WER = 0.0
# File (8455-210777-0015.flac):
# - 8.615 seconds long.
# - actual    text: 'i and my wife and son and the two craswellers and three or four others agreed to dine on board the ship on the next'
# - processed text: 'i and my wife and son and the two crest wellers and three or four others agreed to dine aboard the ship on the next'
# - processed in 48.122 seconds.
# - WER = 0.16
# File (8455-210777-0016.flac):
# - 16.2399375 seconds long.
# - actual    text: 'this i felt was paid to me as being president of the republic and i endeavoured to behave myself with such mingled humility and dignity as might befit the occasion but i could not but feel that something was wanting to the simplicity of my ordinary life'
# - processed text: 'this i felt was paid to me as being president of the republic and i endeavoured to behave myself with such mingled humility and dignity as might be fit the occasion but i could not but feel that something was wanting to the simplicity of my ordinary life'
# - processed in 91.962 seconds.
# - WER = 0.043
# File (8455-210777-0017.flac):
# - 5.3300625 seconds long.
# - actual    text: 'my wife on the spur of the moment managed to give the gentlemen a very good dinner'
# - processed text: 'my wife on the spur of the moment managed to give the gentleman a very good dinner'
# - processed in 29.925 seconds.
# - WER = 0.059
# File (8455-210777-0018.flac):
# - 5.925 seconds long.
# - actual    text: 'this she said was true hospitality and i am not sure that i did not agree with her'
# - processed text: 'this she said was true hospitality and i am not sure that i did not agree with that'
# - processed in 33.543 seconds.
# - WER = 0.056
# File (8455-210777-0019.flac):
# - 8.105 seconds long.
# - actual    text: 'then there were three or four leading men of the community with their wives who were for the most part the fathers and mothers of the young ladies'
# - processed text: 'then there were three or four leading men of the community with their wives who are for the most part the fathers and mothers of the young ladies'
# - processed in 45.79 seconds.
# - WER = 0.036
# File (8455-210777-0020.flac):
# - 3.155 seconds long.
# - actual    text: 'oh yes said jack and i'm nowhere'
# - processed text: 'oh yes said jack and i'm nowhere'
# - processed in 17.461 seconds.
# - WER = 0.0
# File (8455-210777-0021.flac):
# - 2.715 seconds long.
# - actual    text: 'but i mean to have my innings before long'
# - processed text: 'but i mean to have my innings before long'
# - processed in 15.356 seconds.
# - WER = 0.0
# File (8455-210777-0022.flac):
# - 16.36 seconds long.
# - actual    text: 'of what missus neverbend had gone through in providing birds beasts and fishes not to talk of tarts and jellies for the dinner of that day no one but myself can have any idea but it must be admitted that she accomplished her task with thorough success'
# - processed text: 'of what nessus never been had gone through and providing birds beasts and fishes not to talk of tarts and jellies for the dinner of that day no one but myself can have any idea but it must be admitted that she accomplished her task with thorough success'
# - processed in 93.389 seconds.
# - WER = 0.085
# File (8455-210777-0023.flac):
# - 4.73 seconds long.
# - actual    text: 'we sat with the officers some little time after dinner and then went ashore'
# - processed text: 'we sat with the officer some little time after dinner and then went ashore'
# - processed in 26.574 seconds.
# - WER = 0.071
# File (8455-210777-0024.flac):
# - 7.56 seconds long.
# - actual    text: 'how much of evil of real accomplished evil had there not occurred to me during the last few days'
# - processed text: 'how much of evil of real accomplished evil had there not occurred to me during the last few days'
# - processed in 42.388 seconds.
# - WER = 0.0
# File (8455-210777-0025.flac):
# - 3.63 seconds long.
# - actual    text: 'what could i do now but just lay myself down and die'
# - processed text: 'what kin i do now but just lay myself down and die'
# - processed in 20.531 seconds.
# - WER = 0.083
# File (8455-210777-0026.flac):
# - 3.0 seconds long.
# - actual    text: 'and the death of which i dreamt could not alas'
# - processed text: 'and a death of which i dream could not alas'
# - processed in 16.938 seconds.
# - WER = 0.2
# File (8455-210777-0027.flac):
# - 12.625 seconds long.
# - actual    text: 'when this captain should have taken himself and his vessel back to england i would retire to a small farm which i possessed at the farthest side of the island and there in seclusion would i end my days'
# - processed text: 'when this captain should have taken himself and his vessel back to england i would retire to a small farm which i possessed at the further side of the island and there in seclusion would i end my days'
# - processed in 71.459 seconds.
# - WER = 0.026
# File (8455-210777-0028.flac):
# - 7.735 seconds long.
# - actual    text: 'jack would become eva's happy husband and would remain amidst the hurried duties of the eager world'
# - processed text: 'jack would become eva's happy husband and would remain a mist the hurried duties of the eager world'
# - processed in 43.587 seconds.
# - WER = 0.111
# File (8455-210777-0029.flac):
# - 3.085 seconds long.
# - actual    text: 'thinking of all this i went to sleep'
# - processed text: 'thinking of all this i went to sleep'
# - processed in 17.458 seconds.
# - WER = 0.0
# File (8455-210777-0030.flac):
# - 12.845 seconds long.
# - actual    text: 'mister neverbend began the captain and i observed that up to that moment he had generally addressed me as president it cannot be denied that we have come here on an unpleasant mission'
# - processed text: 'mister neverbend began the captain and i observe that up to that moment he had generally addressed me as president he cannot be denied that we have come here on an unpleasant mission'
# - processed in 72.487 seconds.
# - WER = 0.061
# File (8455-210777-0031.flac):
# - 7.67 seconds long.
# - actual    text: 'you have received us with all that courtesy and hospitality for which your character in england stands so high'
# - processed text: 'you have received us with all that coursing hospitality for which your character in england stand so high'
# - processed in 42.989 seconds.
# - WER = 0.158
# File (8455-210777-0032.flac):
# - 2.14 seconds long.
# - actual    text: 'it is a duty said i'
# - processed text: 'it is a duty said i'
# - processed in 11.96 seconds.
# - WER = 0.0
# File (8455-210777-0033.flac):
# - 7.51 seconds long.
# - actual    text: 'but your power is so superior to any that i can advance as to make us here feel that there is no disgrace in yielding to it'
# - processed text: 'but your power is so superior to any that i can advance as to make us here feel that there is no disgrace in yielding to it'
# - processed in 42.23 seconds.
# - WER = 0.0
# File (8455-210777-0034.flac):
# - 7.7 seconds long.
# - actual    text: 'not a doubt but had your force been only double or treble our own i should have found it my duty to struggle with you'
# - processed text: 'not a doubt but had your force been only double or trouble our own i should have found it my duty to struggle with you'
# - processed in 43.008 seconds.
# - WER = 0.04
# File (8455-210777-0035.flac):
# - 4.99 seconds long.
# - actual    text: 'that is all quite true mister neverbend said sir ferdinando brown'
# - processed text: 'that is all quite true mister never been said sir ferdinando brown'
# - processed in 27.885 seconds.
# - WER = 0.182
# File (8455-210777-0036.flac):
# - 15.065 seconds long.
# - actual    text: 'i can afford to smile because i am absolutely powerless before you but i do not the less feel that in a matter in which the progress of the world is concerned i or rather we have been put down by brute force'
# - processed text: 'i can afford to smile because i am absolutely powerless before you but i do not the less feel that in a matter of which the progress of the world is concerned i or rather we have em put down by brute force'
# - processed in 84.378 seconds.
# - WER = 0.047
# File (8455-210777-0037.flac):
# - 4.735 seconds long.
# - actual    text: 'you have come to us threatening us with absolute destruction'
# - processed text: 'you have come to us threatening us with absolute destruction'
# - processed in 26.537 seconds.
# - WER = 0.0
# File (8455-210777-0038.flac):
# - 10.03 seconds long.
# - actual    text: 'therefore i feel myself quite able as president of this republic to receive you with a courtesy due to the servants of a friendly ally'
# - processed text: 'therefore i feel myself quite able as president of this republic to receive you with a courtesy due to the servants of a friendly ally'
# - processed in 56.21 seconds.
# - WER = 0.0
# File (8455-210777-0039.flac):
# - 5.59 seconds long.
# - actual    text: 'i can assure you he has not even allowed me to see the trigger since i have been on board'
# - processed text: 'i can assure you he has not even allowed me to see the trigger since i had been on board'
# - processed in 31.31 seconds.
# - WER = 0.05
# File (8455-210777-0040.flac):
# - 6.195 seconds long.
# - actual    text: 'then said sir ferdinando there is nothing for it but that he must take you with him'
# - processed text: 'then said sir ferdinando there is nothing for it but that we must take you with him'
# - processed in 34.998 seconds.
# - WER = 0.059
# File (8455-210777-0041.flac):
# - 6.37 seconds long.
# - actual    text: 'there came upon me a sudden shock when i heard these words which exceeded anything which i had yet felt'
# - processed text: 'there came upon me a sudden shop when i heard these words which exceeded anything which i had yet felt'
# - processed in 35.337 seconds.
# - WER = 0.05
# File (8455-210777-0042.flac):
# - 4.78 seconds long.
# - actual    text: 'you hear what sir ferdinando brown has said replied captain battleax'
# - processed text: 'you hear what surfer and a brown a sad replied captain battle ax'
# - processed in 26.529 seconds.
# - WER = 0.636
# File (8455-210777-0043.flac):
# - 3.145 seconds long.
# - actual    text: 'but what is the delicate mission i asked'
# - processed text: 'but what is the delicate mission i asked'
# - processed in 17.586 seconds.
# - WER = 0.0
# File (8455-210777-0044.flac):
# - 7.17 seconds long.
# - actual    text: 'i was to be taken away and carried to england or elsewhere or drowned upon the voyage it mattered not which'
# - processed text: 'i was to be taken away and carried to england or elsewhere or drowned upon the voyage it mattered not which'
# - processed in 40.402 seconds.
# - WER = 0.0
# File (8455-210777-0045.flac):
# - 11.285 seconds long.
# - actual    text: 'then the republic of britannula was to be declared as non existent and the british flag was to be exalted and a british governor installed in the executive chambers'
# - processed text: 'then the republic of brea was to be declared as non existent and the british flag was to be exalted and a british governor and stalled in the executive chambers'
# - processed in 63.313 seconds.
# - WER = 0.103
# File (8455-210777-0046.flac):
# - 9.33 seconds long.
# - actual    text: 'you may be quite sure it's there said captain battleax and that i can so use it as to half obliterate your town within two minutes of my return on board'
# - processed text: 'you may be quite sure it there said captain battle ax and that i can so use it as to half a battery your town within two minutes of my return on board'
# - processed in 52.79 seconds.
# - WER = 0.156
# File (8455-210777-0047.flac):
# - 2.54 seconds long.
# - actual    text: 'you propose to kidnap me i said'
# - processed text: 'you propose to kidnap me i said'
# - processed in 14.252 seconds.
# - WER = 0.0
# File (8455-210777-0048.flac):
# - 3.43 seconds long.
# - actual    text: 'what would become of your gun were i to kidnap you'
# - processed text: 'what would become of your gun where i to kidnap you'
# - processed in 19.437 seconds.
# - WER = 0.091
# File (8455-210777-0049.flac):
# - 4.11 seconds long.
# - actual    text: 'lieutenant crosstrees is a very gallant officer'
# - processed text: 'lieutenant cross trees is a very gallant officer'
# - processed in 22.61 seconds.
# - WER = 0.286
# File (8455-210777-0050.flac):
# - 3.945 seconds long.
# - actual    text: 'one of us always remains on board while the other is on shore'
# - processed text: 'one of us always remains on board while the others on shore'
# - processed in 22.07 seconds.
# - WER = 0.154
# File (8455-210777-0051.flac):
# - 13.96 seconds long.
# - actual    text: 'what world wide iniquity such a speech as that discloses said i still turning myself to the captain for though i would have crushed them both by my words had it been possible my dislike centred itself on sir ferdinando'
# - processed text: 'what world wide iniquity such a speech as that disclose said i still turning myself to the captain for though i would have crushed them both by my words had it been possible my dislike senate on sir ferdinando'
# - processed in 78.649 seconds.
# - WER = 0.075
# File (8455-210777-0052.flac):
# - 4.94 seconds long.
# - actual    text: 'you will allow me to suggest said he that that is a matter of opinion'
# - processed text: 'you allow me to suggest said he but that is a matter of opinion'
# - processed in 27.843 seconds.
# - WER = 0.133
# File (8455-210777-0053.flac):
# - 6.955 seconds long.
# - actual    text: 'were i to comply with your orders without expressing my own opinion i should seem to have done so willingly hereafter'
# - processed text: 'were i to comply with your orders without expressing my own opinion i should seem to have done so willingly hereafter'
# - processed in 39.291 seconds.
# - WER = 0.0
# File (8455-210777-0054.flac):
# - 2.52 seconds long.
# - actual    text: 'the letter ran as follows'
# - processed text: 'the letter ran as follows'
# - processed in 13.965 seconds.
# - WER = 0.0
# File (8455-210777-0055.flac):
# - 9.555 seconds long.
# - actual    text: 'sir i have it in command to inform your excellency that you have been appointed governor of the crown colony which is called britannula'
# - processed text: 'sir i have it in command to inform your excellency that you have been appointed governor of the crown colony which is called britain ula'
# - processed in 53.215 seconds.
# - WER = 0.083
# File (8455-210777-0056.flac):
# - 5.545 seconds long.
# - actual    text: 'the peculiar circumstances of the colony are within your excellency's knowledge'
# - processed text: 'the peculiar circumstances of the colony are within your excellency's knowledge'
# - processed in 31.142 seconds.
# - WER = 0.0
# File (8455-210777-0057.flac):
# - 10.81 seconds long.
# - actual    text: 'but in their selection of a constitution the britannulists have unfortunately allowed themselves but one deliberative assembly and hence have sprung their present difficulties'
# - processed text: 'but in their selection of a constitution the britain ulus have unfortunately allowed themselves but one deliberate assembly and hence has sprung their present difficulties'
# - processed in 60.352 seconds.
# - WER = 0.167
# File (8455-210777-0058.flac):
# - 7.16 seconds long.
# - actual    text: 'it is founded on the acknowledged weakness of those who survive that period of life at which men cease to work'
# - processed text: 'it is found in one acknowledge weakness of those who survived that period of life at which men ceased to work'
# - processed in 40.226 seconds.
# - WER = 0.286
# File (8455-210777-0059.flac):
# - 5.535 seconds long.
# - actual    text: 'but it is surmised that you will find difficulties in the way of your entering at once upon your government'
# - processed text: 'but it is surmised that you will find difficulties in the way of your entering at once upon your governor'
# - processed in 31.446 seconds.
# - WER = 0.05
# File (8455-210777-0060.flac):
# - 7.075 seconds long.
# - actual    text: 'the john bright is armed with a weapon of great power against which it is impossible that the people of britannula should prevail'
# - processed text: 'the jam right is armed with a weapon of great power against which it is impossible that the people of britain elisha prevail'
# - processed in 40.19 seconds.
# - WER = 0.174
# File (8455-210777-0061.flac):
# - 15.645 seconds long.
# - actual    text: 'you will carry out with you one hundred men of the north north west birmingham regiment which will probably suffice for your own security as it is thought that if mister neverbend be withdrawn the people will revert easily to their old habits of obedience'
# - processed text: 'you will carry out with you one hundred men of the north north west birmingham regiment which will probably suffice for your own security as it is thought that if mister never been be withdrawn the people will revert easily to their old habits of obedience'
# - processed in 87.614 seconds.
# - WER = 0.044
# File (8455-210777-0062.flac):
# - 3.05 seconds long.
# - actual    text: 'when do you intend that the john bright shall start'
# - processed text: 'when do you intend that the jam right shall start'
# - processed in 17.01 seconds.
# - WER = 0.2
# File (8455-210777-0063.flac):
# - 2.26 seconds long.
# - actual    text: 'to day i shouted'
# - processed text: 'to day i shouted'
# - processed in 12.661 seconds.
# - WER = 0.0
# File (8455-210777-0064.flac):
# - 3.835 seconds long.
# - actual    text: 'and i have no one ready to whom i can give up the archives of the government'
# - processed text: 'and i have no one ready to whom i can give up the arches of the government'
# - processed in 21.805 seconds.
# - WER = 0.059
# File (8455-210777-0065.flac):
# - 3.915 seconds long.
# - actual    text: 'i shall be happy to take charge of them said sir ferdinando'
# - processed text: 'i shall be happy to take charge of them said sir ferdinando'
# - processed in 22.018 seconds.
# - WER = 0.0
# File (8455-210777-0066.flac):
# - 2.76 seconds long.
# - actual    text: 'they of course must all be altered'
# - processed text: 'they of course must all be outer'
# - processed in 15.201 seconds.
# - WER = 0.143
# File (8455-210777-0067.flac):
# - 3.755 seconds long.
# - actual    text: 'or of the habits of our people it is quite impossible'
# - processed text: 'or of the habits of our people it is quite impossible'
# - processed in 21.277 seconds.
# - WER = 0.0
# File (8455-210777-0068.flac):
# - 2.59 seconds long.
# - actual    text: 'your power is sufficient i said'
# - processed text: 'your power is sufficient i said'
# - processed in 14.312 seconds.
# - WER = 0.0
# File (8455-210777-0069.flac):
# - 8.915 seconds long.
# - actual    text: 'if you will give us your promise to meet captain battleax here at this time to morrow we will stretch a point and delay the departure of the john bright for twenty four hours'
# - processed text: 'if you will give us your promise to meet kate at lax here at this time to morrow we will stretch a point and delay the departure of the job right for twenty four hours'
# - processed in 50.252 seconds.
# - WER = 0.147
# File (8455-210777-0070.flac):
# - 5.945 seconds long.
# - actual    text: 'and this plan was adopted too in order to extract from me a promise that i would depart in peace'
# - processed text: 'and this plan was adopted to in order to extract from me a promise that i would depart in peace'
# - processed in 33.634 seconds.
# - WER = 0.05
# File (8463-287645-0000.flac):
# - 4.73 seconds long.
# - actual    text: 'this was what did the mischief so far as the running away was concerned'
# - processed text: 'this was what did the mischief so far as the running away was concerned'
# - processed in 26.381 seconds.
# - WER = 0.0
# File (8463-287645-0001.flac):
# - 3.545 seconds long.
# - actual    text: 'it is hardly necessary to say more of them here'
# - processed text: 'it is hardly necessary to say more of them here'
# - processed in 20.158 seconds.
# - WER = 0.0
# File (8463-287645-0002.flac):
# - 12.92 seconds long.
# - actual    text: 'from the manner in which he expressed himself with regard to robert hollan no man in the whole range of his recollections will be longer remembered than he his enthralment while under hollan will hardly ever be forgotten'
# - processed text: 'from the manner in which he expressed himself with regard to robert hallen no man in the whole range of his recollections will be long remembered than he is enthralment while under holland will hardly ever be forgotten'
# - processed in 73.17 seconds.
# - WER = 0.105
# File (8463-287645-0003.flac):
# - 7.905 seconds long.
# - actual    text: 'of this party edward a boy of seventeen called forth much sympathy he too was claimed by hollan'
# - processed text: 'of this party edward a boy of seventeen called forth much sympathy he too was claimed by holland'
# - processed in 44.283 seconds.
# - WER = 0.056
# File (8463-287645-0004.flac):
# - 6.1 seconds long.
# - actual    text: 'john wesley combash jacob taylor and thomas edward skinner'
# - processed text: 'john wesley compash jacob taylor and thomas edward skinner'
# - processed in 34.043 seconds.
# - WER = 0.111
# File (8463-287645-0005.flac):
# - 15.975 seconds long.
# - actual    text: 'a few years back one of their slaves a coachman was kept on the coach box one cold night when they were out at a ball until he became almost frozen to death in fact he did die in the infirmary from the effects of the frost about one week afterwards'
# - processed text: 'a few years back one of their slaves a coachman was kept on the coach box one cold night when they were out at a ball until he became almost frozen to death in fact he did die in the infirmary from the effects of the frost about one week afterwards'
# - processed in 89.837 seconds.
# - WER = 0.0
# File (8463-287645-0006.flac):
# - 7.71 seconds long.
# - actual    text: 'the doctor who attended the injured creature in this case was simply told that she slipped and fell down stairs as she was coming down'
# - processed text: 'the doctor who attended the entire creature in this case was simply told that she slept and filed down the stairs as she was coming down'
# - processed in 43.964 seconds.
# - WER = 0.16
# File (8463-287645-0007.flac):
# - 21.5 seconds long.
# - actual    text: 'another case said john wesley was a little girl half grown who was washing windows up stairs one day and unluckily fell asleep in the window and in this position was found by her mistress in a rage the mistress hit her a heavy slap knocked her out of the window and she fell to the pavement and died in a few hours from the effects thereof'
# - processed text: 'another case said john wesley was a little girl half grown who was washing windows upstairs one day and unluckily fell asleep in the window and in this position was found by her mistress in a rage the mistress he had heard a heavy slap knocked her out of the window and she fell to the pavement and died in a few hours from the effects thereof'
# - processed in 121.028 seconds.
# - WER = 0.075
# File (8463-287645-0008.flac):
# - 3.325 seconds long.
# - actual    text: 'as usual nothing was done in the way of punishment'
# - processed text: 'as usual nothing was done in the way of punishment'
# - processed in 18.865 seconds.
# - WER = 0.0
# File (8463-287645-0009.flac):
# - 3.71 seconds long.
# - actual    text: 'i never knew of but one man who could ever please him'
# - processed text: 'i never knew of but one man who could ever please him'
# - processed in 21.091 seconds.
# - WER = 0.0
# File (8463-287645-0010.flac):
# - 4.325 seconds long.
# - actual    text: 'he worked me very hard he wanted to be beating me all the time'
# - processed text: 'he worked me very hard he wanted to be beating me all the time'
# - processed in 24.192 seconds.
# - WER = 0.0
# File (8463-287645-0011.flac):
# - 6.38 seconds long.
# - actual    text: 'she was a large homely woman they were common white people with no reputation in the community'
# - processed text: 'she was a large homely woman they were common white people with no reputation in the community'
# - processed in 35.587 seconds.
# - WER = 0.0
# File (8463-287645-0012.flac):
# - 5.425 seconds long.
# - actual    text: 'substantially this was jacob's unvarnished description of his master and mistress'
# - processed text: 'substantially this was jacob's unvarnished description of his master and mistress'
# - processed in 30.168 seconds.
# - WER = 0.0
# File (8463-287645-0013.flac):
# - 6.665 seconds long.
# - actual    text: 'as to his age and also the name of his master jacob's statement varied somewhat from the advertisement'
# - processed text: 'as to his age and also the name of his master jacob statement varied somewhat from the advertisement'
# - processed in 37.115 seconds.
# - WER = 0.053
# File (8463-287645-0014.flac):
# - 3.02 seconds long.
# - actual    text: 'of starting i didn't know the way to come'
# - processed text: 'of starting i didn't know the way to come'
# - processed in 16.992 seconds.
# - WER = 0.0
# File (8555-284447-0000.flac):
# - 9.605 seconds long.
# - actual    text: 'then he rushed down stairs into the courtyard shouting loudly for his soldiers and threatening to patch everybody in his dominions if the sailorman was not recaptured'
# - processed text: 'then he rushed down stairs into the courtyard shouting loudly for his soldiers and threatening to pitch every body in his dominions at the sailor men was not recaptured'
# - processed in 54.0 seconds.
# - WER = 0.222
# File (8555-284447-0001.flac):
# - 8.61 seconds long.
# - actual    text: 'hold him fast my men and as soon as i've had my coffee and oatmeal i'll take him to the room of the great knife and patch him'
# - processed text: 'hold him fast my man and as soon as i've had my coffee in a bill i'll take him to the room of the great knife and patch him'
# - processed in 48.305 seconds.
# - WER = 0.133
# File (8555-284447-0002.flac):
# - 8.025 seconds long.
# - actual    text: 'i wouldn't mind a cup o coffee myself said cap'n bill i've had consid'ble exercise this mornin and i'm all ready for breakfas'
# - processed text: 'i wouldn't mind a cup of coffee myself said campbell i have had considerable ceteris this morning and and i'm already for breakfast'
# - processed in 44.228 seconds.
# - WER = 0.385
# File (8555-284447-0003.flac):
# - 4.415 seconds long.
# - actual    text: 'but cap'n bill made no such attempt knowing it would be useless'
# - processed text: 'but cap'n bill made no such attempt knowing it would be useless'
# - processed in 24.796 seconds.
# - WER = 0.0
# File (8555-284447-0004.flac):
# - 5.485 seconds long.
# - actual    text: 'as soon as they entered the room of the great knife the boolooroo gave a yell of disappointment'
# - processed text: 'as soon as they entered the room of the great knife the booleroo gave a yellow disappointment'
# - processed in 31.365 seconds.
# - WER = 0.167
# File (8555-284447-0005.flac):
# - 6.83 seconds long.
# - actual    text: 'the room of the great knife was high and big and around it ran rows of benches for the spectators to sit upon'
# - processed text: 'the room of the great knife was high and big and around it ran rows of benches for the spectators to sit upon'
# - processed in 38.411 seconds.
# - WER = 0.0
# File (8555-284447-0006.flac):
# - 12.955 seconds long.
# - actual    text: 'in one place at the head of the room was a raised platform for the royal family with elegant throne chairs for the king and queen and six smaller but richly upholstered chairs for the snubnosed princesses'
# - processed text: 'in one place at the head of the room was a raised platform for the royal family with elegant drown cheers for the king and queen and six smaller but richly opposed her chairs with a noose princesses'
# - processed in 71.104 seconds.
# - WER = 0.189
# File (8555-284447-0007.flac):
# - 6.365 seconds long.
# - actual    text: 'therefore her majesty paid no attention to anyone and no one paid any attention to her'
# - processed text: 'they are for her majesty paid no attention to any one and no one paid any attention to her'
# - processed in 35.425 seconds.
# - WER = 0.312
# File (8555-284447-0008.flac):
# - 8.39 seconds long.
# - actual    text: 'rich jewels of blue stones glittered upon their persons and the royal ladies were fully as gorgeous as they were haughty and overbearing'
# - processed text: 'rich jewels of blue stars glittered upon their persons and the royal ladies were folios gorgeous as they were haughty and overbearing'
# - processed in 46.961 seconds.
# - WER = 0.13
# File (8555-284447-0009.flac):
# - 3.275 seconds long.
# - actual    text: 'mornin girls hope ye feel as well as ye look'
# - processed text: 'morning girls o peepil as well as you look'
# - processed in 18.204 seconds.
# - WER = 0.5
# File (8555-284447-0010.flac):
# - 12.93 seconds long.
# - actual    text: 'control yourselves my dears replied the boolooroo the worst punishment i know how to inflict on anyone this prisoner is about to suffer you'll see a very pretty patching my royal daughters'
# - processed text: 'control yourself my dear replied the booleroo the worst punishment i know how to emlenton this prisoner is about to suffer you will see a very pretty patching my royal daughters'
# - processed in 72.233 seconds.
# - WER = 0.182
# File (8555-284447-0011.flac):
# - 1.955 seconds long.
# - actual    text: 'suppose it's a friend'
# - processed text: 'suppose it of brand'
# - processed in 10.591 seconds.
# - WER = 0.6
# File (8555-284447-0012.flac):
# - 2.275 seconds long.
# - actual    text: 'the captain shook his head'
# - processed text: 'the captain shook his head'
# - processed in 12.663 seconds.
# - WER = 0.0
# File (8555-284447-0013.flac):
# - 9.04 seconds long.
# - actual    text: 'why you said to fetch the first living creature we met and that was this billygoat replied the captain panting hard as he held fast to one of the goat's horns'
